brokered_by,status, Listing Price ($) , Price per Sqft ,bed,bath,street,city,state,zip_code,House Size (sqft),prev_sold_date,Years Since Last Sale
90713,for_sale," $490,000.00 ", $284.72 ,3,2,147234,Miami,Florida,33157,1721,,
7319,for_sale," $495,000.00 ", $318.12 ,3,2,239109,Miami,Florida,33177,1556,10/4/19,5
35811,for_sale," $450,000.00 ", $274.73 ,4,2,184490,Miami,Florida,33177,1638,,
104433,for_sale," $420,000.00 ", $456.52 ,4,1,208766,Miami,Florida,33177,920,,
7319,for_sale," $3,330,000.00 "," $1,051.47 ",3,2,,Miami,Florida,33170,3167,,
22611,for_sale," $1,250,000.00 ", $459.22 ,4,3,286006,Miami,Florida,33176,2722,,
20447,for_sale," $1,995,000.00 ", $639.22 ,5,3,1746705,Miami,Florida,33176,3121,1/8/18,7
81066,for_sale," $239,900.00 ", $228.48 ,2,2,1835230,Miami,Florida,33176,1050,,
53335,for_sale," $335,000.00 ", $195.79 ,4,2,313766,Miami,Florida,33176,1711,,
51228,for_sale," $350,000.00 ", $228.76 ,3,2,380257,Miami,Florida,33176,1530,,
17823,for_sale," $270,000.00 ", $251.16 ,2,2,71663,Miami,Florida,33196,1075,4/19/19,6
16288,for_sale," $510,000.00 ", $331.38 ,3,2,478453,Miami,Florida,33177,1539,,
64123,for_sale," $780,000.00 ", $371.08 ,4,3,170463,Miami,Florida,33186,2102,8/23/95,29
98232,for_sale," $355,000.00 ", $201.93 ,3,3,262112,Miami,Florida,33186,1758,5/23/03,22
36338,for_sale," $799,000.00 ", $332.36 ,4,3,367466,Miami,Florida,33186,2404,1/8/21,4
17946,for_sale," $280,000.00 ", $305.01 ,1,1,1770092,Miami,Florida,33156,918,,
27044,for_sale," $1,294,999.00 ", $576.58 ,5,3,89640,Miami,Florida,33156,2246,,
47945,for_sale," $359,000.00 ", $271.35 ,3,2,408122,Miami,Florida,33157,1323,12/14/93,31
81066,for_sale," $565,000.00 ", $195.84 ,4,3,104729,Miami,Florida,33196,2885,,
7319,for_sale," $370,000.00 ", $377.94 ,2,2,319510,Miami,Florida,33186,979,,
35944,for_sale," $925,000.00 ", $324.90 ,4,3,434681,Miami,Florida,33196,2847,10/19/17,7
71813,for_sale," $400,000.00 ", $272.85 ,3,3,359240,Miami,Florida,33186,1466,,
5097,for_sale," $1,399,000.00 ", $460.05 ,4,3,70037,Miami,Florida,33176,3041,,
56852,for_sale," $475,000.00 ", $331.01 ,3,2,247219,Miami,Florida,33177,1435,,
22611,for_sale," $795,000.00 ", $402.12 ,3,2,357995,Miami,Florida,33176,1977,,
22611,for_sale," $2,790,000.00 ", $653.70 ,5,5,1788422,Miami,Florida,33176,4268,,
71241,for_sale," $523,000.00 ", $223.98 ,5,4,195386,Miami,Florida,33170,2335,12/16/21,3
7319,for_sale," $185,000.00 ", $260.93 ,1,1,1723751,Miami,Florida,33156,709,,
16083,for_sale," $494,900.00 ", $213.04 ,4,2,627398,Miami,Florida,33189,2323,,
99549,for_sale," $400,000.00 ", $325.20 ,3,1,,Miami,Florida,33189,1230,,
4302,for_sale," $470,000.00 ", $220.55 ,4,4,721556,Miami,Florida,33190,2131,,
30957,for_sale," $699,900.00 ", $330.30 ,4,3,355430,Miami,Florida,33170,2119,,
22611,for_sale," $495,000.00 ", $214.29 ,4,3,218721,Miami,Florida,33186,2310,11/4/20,4
96231,for_sale," $379,900.00 ", $382.19 ,2,1,1664114,Miami,Florida,33143,994,8/17/04,20
68363,for_sale," $774,900.00 ", $278.54 ,4,2,,Miami,Florida,33187,2782,,
32596,for_sale," $400,000.00 ", $244.65 ,3,3,396139,Miami,Florida,33196,1635,,
22611,for_sale," $420,000.00 ", $397.73 ,3,2,584797,Miami,Florida,33157,1056,,
79638,for_sale," $477,000.00 ", $257.84 ,3,3,351134,Miami,Florida,33177,1850,,
54612,for_sale," $549,900.00 ", $264.63 ,4,2,,Miami,Florida,33157,2078,,
35944,for_sale," $879,000.00 ", $329.95 ,5,3,278859,Miami,Florida,33177,2664,3/29/21,4
103320,for_sale," $559,999.00 ", $329.41 ,3,3,517202,Miami,Florida,33157,1700,11/16/21,3
